season,posteam,down,dist_bucket,pass_rate,plays
2023,ARI,1,Long (10+),0.4517133956386293,321
2023,ARI,1,Med-Short (3-5),0.2857142857142857,14
2023,ARI,1,Medium (6-9),0.3333333333333333,6
2023,ARI,1,Short (1-2),0.25,4
2023,ARI,2,Long (10+),0.5047619047619047,105
2023,ARI,2,Med-Short (3-5),0.5531914893617021,47
2023,ARI,2,Medium (6-9),0.5194805194805194,77
2023,ARI,2,Short (1-2),0.12,25
2023,ARI,3,Long (10+),0.7450980392156863,51
2023,ARI,3,Med-Short (3-5),0.8205128205128205,39
2023,ARI,3,Medium (6-9),0.9333333333333333,45
2023,ARI,3,Short (1-2),0.36,25
2023,ARI,4,Long (10+),1.0,2
2023,ARI,4,Med-Short (3-5),1.0,6
2023,ARI,4,Medium (6-9),0.5,4
2023,ARI,4,Short (1-2),0.25,8
2023,ATL,1,Long (10+),0.4073107049608355,383
2023,ATL,1,Med-Short (3-5),0.25,12
2023,ATL,1,Medium (6-9),0.2222222222222222,9
2023,ATL,1,Short (1-2),0.5,2
2023,ATL,2,Long (10+),0.5728155339805825,103
2023,ATL,2,Med-Short (3-5),0.3559322033898305,59
2023,ATL,2,Medium (6-9),0.6271186440677966,118
2023,ATL,2,Short (1-2),0.3548387096774194,31
2023,ATL,3,Long (10+),0.9333333333333333,45
2023,ATL,3,Med-Short (3-5),0.6595744680851063,47
2023,ATL,3,Medium (6-9),0.8636363636363636,66
2023,ATL,3,Short (1-2),0.2777777777777778,36
2023,ATL,4,Med-Short (3-5),0.6,5
2023,ATL,4,Short (1-2),0.25,8
2023,BAL,1,Long (10+),0.5012787723785166,391
2023,BAL,1,Med-Short (3-5),0.1,10
2023,BAL,1,Medium (6-9),0.14285714285714285,7
2023,BAL,1,Short (1-2),0.0,4
2023,BAL,2,Long (10+),0.7368421052631579,95
2023,BAL,2,Med-Short (3-5),0.4090909090909091,66
2023,BAL,2,Medium (6-9),0.6111111111111112,108
2023,BAL,2,Short (1-2),0.3548387096774194,31
2023,BAL,3,Long (10+),0.7567567567567568,37
2023,BAL,3,Med-Short (3-5),0.7272727272727273,44
2023,BAL,3,Medium (6-9),0.9074074074074074,54
2023,BAL,3,Short (1-2),0.23076923076923078,39
2023,BAL,4,Long (10+),1.0,1
2023,BAL,4,Med-Short (3-5),1.0,1
2023,BAL,4,Medium (6-9),1.0,1
2023,BAL,4,Short (1-2),0.14285714285714285,7
2023,BUF,1,Long (10+),0.5,412
2023,BUF,1,Med-Short (3-5),0.14285714285714285,7
2023,BUF,1,Medium (6-9),0.09090909090909091,11
2023,BUF,1,Short (1-2),0.0,6
2023,BUF,2,Long (10+),0.7978723404255319,94
2023,BUF,2,Med-Short (3-5),0.4155844155844156,77
2023,BUF,2,Medium (6-9),0.7368421052631579,114
2023,BUF,2,Short (1-2),0.2558139534883721,43
2023,BUF,3,Long (10+),0.8333333333333334,42
2023,BUF,3,Med-Short (3-5),0.8333333333333334,42
2023,BUF,3,Medium (6-9),0.8947368421052632,57
2023,BUF,3,Short (1-2),0.20833333333333334,48
2023,BUF,4,Med-Short (3-5),0.5,2
2023,BUF,4,Short (1-2),0.6153846153846154,13
2023,CAR,1,Long (10+),0.45014245014245013,351
2023,CAR,1,Med-Short (3-5),0.2,5
2023,CAR,1,Medium (6-9),0.5,8
2023,CAR,1,Short (1-2),0.0,2
2023,CAR,2,Long (10+),0.7264150943396226,106
2023,CAR,2,Med-Short (3-5),0.32,50
2023,CAR,2,Medium (6-9),0.5145631067961165,103
2023,CAR,2,Short (1-2),0.25,28
2023,CAR,3,Long (10+),0.9365079365079365,63
2023,CAR,3,Med-Short (3-5),0.7555555555555555,45
2023,CAR,3,Medium (6-9),0.8679245283018868,53
2023,CAR,3,Short (1-2),0.3181818181818182,44
2023,CAR,4,Long (10+),1.0,2
2023,CAR,4,Med-Short (3-5),1.0,4
2023,CAR,4,Medium (6-9),1.0,4
2023,CAR,4,Short (1-2),0.4117647058823529,17
2023,CHI,1,Long (10+),0.4634920634920635,315
2023,CHI,1,Med-Short (3-5),0.5,6
2023,CHI,1,Medium (6-9),0.3333333333333333,9
2023,CHI,1,Short (1-2),0.0,5
2023,CHI,2,Long (10+),0.5416666666666666,96
2023,CHI,2,Med-Short (3-5),0.37735849056603776,53
2023,CHI,2,Medium (6-9),0.49382716049382713,81
2023,CHI,2,Short (1-2),0.3157894736842105,19
2023,CHI,3,Long (10+),0.8163265306122449,49
2023,CHI,3,Med-Short (3-5),0.6829268292682927,41
2023,CHI,3,Medium (6-9),0.875,48
2023,CHI,3,Short (1-2),0.2962962962962963,27
2023,CHI,4,Long (10+),1.0,4
2023,CHI,4,Med-Short (3-5),1.0,2
2023,CHI,4,Short (1-2),0.18181818181818182,11
2023,CIN,1,Long (10+),0.5578635014836796,337
2023,CIN,1,Med-Short (3-5),0.6666666666666666,9
2023,CIN,1,Medium (6-9),0.45454545454545453,11
