season,posteam,formation,plays,epa,pass_rate,success,usage_pct
2023,ARI,No-Huddle Shotgun,35,-0.20777876708556764,0.6571428571428571,0.37142857142857144,4.5
2023,ARI,No-Huddle UC,8,0.03485784828080796,0.25,0.5,1.0
2023,ARI,Shotgun,499,-0.07159223750975448,0.625250501002004,0.38877755511022044,64.1
2023,ARI,Under Center,237,-0.024260098617410054,0.29535864978902954,0.4430379746835443,30.4
2023,ATL,No-Huddle Shotgun,76,-0.04633495716199431,0.8157894736842105,0.5263157894736842,8.2
2023,ATL,No-Huddle UC,14,-0.33558404975753675,0.07142857142857142,0.21428571428571427,1.5
2023,ATL,Shotgun,627,-0.06703699507637643,0.5502392344497608,0.39074960127591707,67.9
2023,ATL,Under Center,207,-0.13827326218085773,0.30917874396135264,0.4251207729468599,22.4
2023,BAL,No-Huddle Shotgun,56,0.006608409919848394,0.5,0.6071428571428571,7.0
2023,BAL,No-Huddle UC,4,-0.033382768771843985,0.0,0.5,0.5
2023,BAL,Shotgun,639,0.06110218532266211,0.6071987480438185,0.4788732394366197,79.8
2023,BAL,Under Center,102,0.015592206536684245,0.22549019607843138,0.45098039215686275,12.7
2023,BUF,No-Huddle Shotgun,106,0.01864251742949073,0.7452830188679245,0.4811320754716981,12.2
2023,BUF,No-Huddle UC,8,0.9995349773889757,0.125,0.75,0.9
2023,BUF,Shotgun,555,0.09031620286879602,0.6486486486486487,0.5009009009009009,64.0
2023,BUF,Under Center,198,0.0886954045692821,0.29797979797979796,0.48484848484848486,22.8
2023,CAR,No-Huddle Shotgun,73,0.04938984816185875,0.5342465753424658,0.4383561643835616,8.2
2023,CAR,No-Huddle UC,1,-0.19266112591139972,0.0,0.0,0.1
2023,CAR,Shotgun,633,-0.2110508737934447,0.65086887835703,0.344391785150079,71.5
2023,CAR,Under Center,178,-0.18544252003573164,0.19662921348314608,0.398876404494382,20.1
2023,CHI,No-Huddle Shotgun,33,-0.2481201810048583,0.5151515151515151,0.2727272727272727,4.3
2023,CHI,No-Huddle UC,10,0.11225593594717793,0.0,0.7,1.3
2023,CHI,Shotgun,547,-0.010576528414502684,0.6197440585009141,0.4296160877513711,71.4
