season,posteam,field_zone,pass_rate,plays
2023,ARI,1. Own End (75-100),0.5228426395939086,197
2023,ARI,2. Own Mid (50-74),0.55,260
2023,ARI,3. Opp Mid (25-49),0.5306122448979592,196
2023,ARI,4. Red Zone (10-24),0.5061728395061729,81
2023,ARI,5. Goal-to-Go (<10),0.35555555555555557,45
2023,ATL,1. Own End (75-100),0.5311004784688995,209
2023,ATL,2. Own Mid (50-74),0.580952380952381,315
2023,ATL,3. Opp Mid (25-49),0.4567901234567901,243
2023,ATL,4. Red Zone (10-24),0.4166666666666667,108
2023,ATL,5. Goal-to-Go (<10),0.4489795918367347,49
2023,BAL,1. Own End (75-100),0.4772727272727273,176
2023,BAL,2. Own Mid (50-74),0.6042296072507553,331
2023,BAL,3. Opp Mid (25-49),0.6103896103896104,231
2023,BAL,4. Red Zone (10-24),0.4953271028037383,107
2023,BAL,5. Goal-to-Go (<10),0.3137254901960784,51
2023,BUF,1. Own End (75-100),0.5913978494623656,186
2023,BUF,2. Own Mid (50-74),0.6144578313253012,332
2023,BUF,3. Opp Mid (25-49),0.5714285714285714,252
2023,BUF,4. Red Zone (10-24),0.512396694214876,121
2023,BUF,5. Goal-to-Go (<10),0.38961038961038963,77
2023,CAR,1. Own End (75-100),0.5747663551401869,214
2023,CAR,2. Own Mid (50-74),0.5602409638554217,332
2023,CAR,3. Opp Mid (25-49),0.5752212389380531,226
2023,CAR,4. Red Zone (10-24),0.4166666666666667,72
2023,CAR,5. Goal-to-Go (<10),0.4146341463414634,41
2023,CHI,1. Own End (75-100),0.5032679738562091,153
2023,CHI,2. Own Mid (50-74),0.5127272727272727,275
2023,CHI,3. Opp Mid (25-49),0.5426008968609866,223
2023,CHI,4. Red Zone (10-24),0.5,72
2023,CHI,5. Goal-to-Go (<10),0.4883720930232558,43
2023,CIN,1. Own End (75-100),0.6153846153846154,182
2023,CIN,2. Own Mid (50-74),0.6628352490421456,261
2023,CIN,3. Opp Mid (25-49),0.7401960784313726,204
2023,CIN,4. Red Zone (10-24),0.625,96
2023,CIN,5. Goal-to-Go (<10),0.4603174603174603,63
2023,CLE,1. Own End (75-100),0.6167400881057269,227
2023,CLE,2. Own Mid (50-74),0.6306306306306306,333
2023,CLE,3. Opp Mid (25-49),0.5327102803738317,214
2023,CLE,4. Red Zone (10-24),0.5161290322580645,93
2023,CLE,5. Goal-to-Go (<10),0.4791666666666667,48
2023,DAL,1. Own End (75-100),0.6165413533834586,133
2023,DAL,2. Own Mid (50-74),0.6608695652173913,230
2023,DAL,3. Opp Mid (25-49),0.6074766355140186,214
2023,DAL,4. Red Zone (10-24),0.5217391304347826,115
2023,DAL,5. Goal-to-Go (<10),0.6153846153846154,65
2023,DEN,1. Own End (75-100),0.5789473684210527,171
2023,DEN,2. Own Mid (50-74),0.5746268656716418,268
2023,DEN,3. Opp Mid (25-49),0.5217391304347826,184
